Timestamp,Time,latitude,longitude,fix_status
2024-11-12 20:09:50,230948.00,-33.449973166666666,-70.5939875,Valid fix
2024-11-12 20:09:55,230953.00,-33.44992716666667,-70.593974,Valid fix
2024-11-12 20:10:00,230958.00,-33.4498715,-70.59399916666666,Valid fix
2024-11-12 20:10:05,231003.00,-33.449828,-70.59404233333333,Valid fix
2024-11-12 20:10:11,231008.00,-33.449759666666665,-70.59401033333333,Valid fix
2024-11-12 20:10:16,231014.00,-33.44968816666667,-70.5940045,Valid fix
2024-11-12 20:10:21,231019.00,-33.4496105,-70.5940265,Valid fix
2024-11-12 20:10:26,231024.00,-33.4495435,-70.5940195,Valid fix
2024-11-12 20:10:31,231029.00,-33.44947366666667,-70.59402683333333,Valid fix
2024-11-12 20:10:36,231034.00,-33.449413,-70.5940045,Valid fix
2024-11-12 20:10:41,231039.00,-33.44937683333333,-70.59400816666667,Valid fix
2024-11-12 20:10:46,231044.00,-33.449299333333336,-70.59400766666667,Valid fix
2024-11-12 20:10:51,231049.00,-33.44922733333333,-70.59400383333333,Valid fix
2024-11-12 20:10:56,231054.00,-33.449141166666664,-70.594002,Valid fix
2024-11-12 20:11:01,231059.00,-33.4490625,-70.59398683333333,Valid fix
2024-11-12 20:11:06,231104.00,-33.44897383333333,-70.59396566666666,Valid fix
2024-11-12 20:11:11,231109.00,-33.448898,-70.59395116666667,Valid fix
2024-11-12 20:11:16,231114.00,-33.448821,-70.593974,Valid fix
2024-11-12 20:11:22,231120.00,-33.4488065,-70.594078,Valid fix
2024-11-12 20:11:27,231125.00,-33.44880416666667,-70.59414416666667,Valid fix
2024-11-12 20:11:32,231130.00,-33.44883633333333,-70.59421733333333,Valid fix
2024-11-12 20:11:37,231135.00,-33.44887133333334,-70.59429,Valid fix
2024-11-12 20:11:42,231140.00,-33.448868,-70.594367,Valid fix
2024-11-12 20:11:47,231145.00,-33.44887766666667,-70.594449,Valid fix
2024-11-12 20:11:52,231150.00,-33.448891833333334,-70.59453166666667,Valid fix
2024-11-12 20:11:57,231155.00,-33.44888483333333,-70.5946235,Valid fix
2024-11-12 20:12:02,231200.00,-33.4488945,-70.594703,Valid fix
2024-11-12 20:12:07,231205.00,-33.44893883333334,-70.59477266666667,Valid fix
2024-11-12 20:12:12,231210.00,-33.44895866666667,-70.59486133333333,Valid fix
2024-11-12 20:12:17,231215.00,-33.44899633333333,-70.59493516666667,Valid fix
2024-11-12 20:12:22,231220.00,-33.4489865,-70.59501116666667,Valid fix
2024-11-12 20:12:27,231225.00,-33.44898366666666,-70.59509883333334,Valid fix
2024-11-12 20:12:32,231230.00,-33.44896833333333,-70.59517516666666,Valid fix
2024-11-12 20:12:37,231235.00,-33.4489745,-70.59527683333333,Valid fix
