Timestamp,xAcel_L,yAcel_L,zAcel_L,xGyro_L,yGyro_L,zGyro_L,xMag_L,yMag_L,zMag_L,xAcel_R,yAcel_R,zAcel_R,xGyro_R,yGyro_R,zGyro_R,xMag_R,yMag_R,zMag_R
-0.61,-0.09,0.75,1.89,-0.06,0.37,-4.11,-12.55,10.79,-0.82,-0.59,0.09,3.97,0.79,0.73,32.76,20.46,11.33
-0.61,-0.09,0.76,2.01,-0.18,0.49,-4.00,-13.04,9.92,-0.82,-0.59,0.09,3.91,0.98,0.92,32.46,19.81,12.59
-0.61,-0.09,0.75,1.89,-0.12,0.49,-4.37,-13.05,10.29,-0.82,-0.59,0.09,4.03,1.04,0.92,32.48,20.34,11.45
-0.61,-0.09,0.76,2.01,-0.37,0.73,-4.27,-12.49,10.55,-0.82,-0.59,0.09,4.09,0.98,0.79,32.19,20.02,11.15
-0.61,-0.09,0.75,2.01,0.06,0.49,-4.08,-12.83,10.13,-0.82,-0.59,0.10,4.09,0.92,0.73,32.70,19.78,11.72
-0.61,-0.09,0.75,1.83,0.00,0.55,-4.02,-12.68,9.97,-0.82,-0.59,0.10,4.21,1.04,0.85,32.24,20.02,10.88
-0.61,-0.09,0.75,1.77,-0.06,0.61,-4.61,-12.89,8.70,-0.82,-0.59,0.10,4.09,0.85,0.73,32.29,19.74,11.40
-0.61,-0.09,0.75,2.32,-0.49,0.31,-4.02,-13.22,10.67,-0.82,-0.59,0.10,4.09,0.98,0.79,32.20,19.30,11.94
-0.61,-0.09,0.75,1.95,-0.06,0.61,-4.77,-12.76,9.90,-0.82,-0.59,0.10,4.09,0.98,0.67,32.18,20.07,12.73
-0.61,-0.09,0.75,2.32,-0.24,0.37,-4.17,-12.96,9.77,-0.82,-0.59,0.10,4.03,0.73,0.73,32.70,19.75,10.58
-0.61,-0.09,0.75,1.59,0.24,0.73,-4.42,-12.88,10.31,-0.82,-0.59,0.10,4.15,1.16,0.67,32.76,19.84,10.89
-0.61,-0.09,0.76,2.14,-0.37,0.79,-4.08,-12.60,10.00,-0.82,-0.59,0.10,4.27,1.16,0.79,32.65,20.12,10.63
-0.61,-0.09,0.76,1.46,-0.31,1.04,-4.08,-13.06,10.29,-0.82,-0.59,0.10,4.03,1.10,0.73,32.48,19.85,11.85
-0.61,-0.09,0.75,1.77,0.12,0.49,-4.70,-12.76,10.95,-0.82,-0.59,0.10,4.09,0.98,0.92,32.52,19.97,10.57
-0.61,-0.09,0.75,1.83,-0.43,0.79,-3.92,-13.29,10.36,-0.82,-0.59,0.10,4.33,1.10,0.79,32.71,19.74,11.69
-0.61,-0.09,0.75,2.08,-0.31,0.55,-4.49,-13.32,9.66,-0.82,-0.59,0.10,4.21,0.92,0.79,31.84,19.89,10.78
-0.61,-0.09,0.75,2.26,-0.31,0.61,-3.98,-12.45,10.01,-0.82,-0.59,0.10,3.97,1.04,0.73,32.69,20.43,12.34
-0.61,-0.09,0.76,2.69,-1.22,0.85,-4.27,-12.59,11.44,-0.82,-0.59,0.10,4.27,0.98,0.79,32.31,20.32,10.88
-0.61,-0.09,0.75,1.53,-0.06,0.79,-4.47,-13.21,10.14,-0.82,-0.59,0.10,4.27,1.10,0.79,32.68,19.79,11.39
-0.61,-0.09,0.75,2.14,-0.43,0.49,-4.14,-12.74,9.85,-0.82,-0.59,0.10,4.03,0.85,0.92,32.46,20.32,10.96
-0.61,-0.09,0.75,2.44,-0.98,0.73,-4.32,-12.96,9.59,-0.82,-0.59,0.10,4.21,0.98,0.73,31.98,19.79,12.00
-0.61,-0.09,0.75,1.59,0.00,0.79,-3.87,-12.73,9.78,-0.82,-0.59,0.10,4.21,1.04,0.79,32.70,20.20,12.07
-0.61,-0.09,0.75,1.59,0.00,0.61,-3.66,-13.10,9.05,-0.82,-0.59,0.10,4.03,1.04,0.79,32.65,20.07,11.69
-0.61,-0.09,0.75,1.83,-0.49,0.92,-4.21,-12.96,9.81,-0.82,-0.59,0.10,4.33,0.98,0.79,32.43,19.89,11.11
-0.61,-0.09,0.76,2.08,-0.43,0.61,-4.25,-12.77,9.97,-0.82,-0.59,0.10,4.09,0.98,0.79,32.35,19.82,10.67
-0.61,-0.09,0.75,1.95,-0.55,0.79,-4.15,-12.72,10.56,-0.82,-0.59,0.10,4.15,0.92,0.73,32.31,20.39,11.30
-0.61,-0.09,0.75,1.40,0.24,0.55,-4.79,-12.39,9.85,-0.82,-0.59,0.10,4.21,1.10,0.73,32.70,20.12,12.05
-0.61,-0.09,0.76,1.95,-0.18,0.73,-4.69,-12.60,10.27,-0.82,-0.59,0.10,4.09,0.92,0.79,33.18,19.90,11.57
-0.61,-0.09,0.75,2.01,-0.49,0.67,-4.21,-12.71,10.25,-0.82,-0.59,0.10,4.09,1.04,0.73,33.02,20.06,11.63
-0.61,-0.09,0.75,1.95,-0.37,0.85,-4.26,-13.11,10.16,-0.82,-0.59,0.10,4.21,1.10,0.85,32.79,19.58,11.52
