id,timestamp,time,latitude,longitude,fix_status
1,2024-12-01 20:04:46,230446.00,-33.44800633333333,-70.59342116666667,Valid fix
2,2024-12-01 20:04:47,230447.00,-33.44798766666667,-70.59342633333333,Valid fix
3,2024-12-01 20:04:48,230448.00,-33.447973833333336,-70.593412,Valid fix
4,2024-12-01 20:04:49,230449.00,-33.4479545,-70.5934035,Valid fix
5,2024-12-01 20:04:50,230450.00,-33.44793583333333,-70.59340283333333,Valid fix
6,2024-12-01 20:04:51,230451.00,-33.447919166666665,-70.59340283333333,Valid fix
7,2024-12-01 20:04:52,230452.00,-33.447909333333335,-70.59341,Valid fix
8,2024-12-01 20:04:53,230453.00,-33.44791283333333,-70.59340316666666,Valid fix
9,2024-12-01 20:04:54,230454.00,-33.44793716666667,-70.59341666666667,Valid fix
10,2024-12-01 20:04:55,230455.00,-33.4479975,-70.59345066666667,Valid fix
11,2024-12-01 20:04:56,230456.00,-33.448055,-70.59347983333333,Valid fix
12,2024-12-01 20:04:57,230457.00,-33.44809216666667,-70.59350333333333,Valid fix
13,2024-12-01 20:04:58,230458.00,-33.44812983333333,-70.5935225,Valid fix
14,2024-12-01 20:04:59,230459.00,-33.448162833333335,-70.59354066666667,Valid fix
15,2024-12-01 20:05:00,230500.00,-33.448192166666665,-70.59355366666666,Valid fix
16,2024-12-01 20:05:01,230501.00,-33.44821533333333,-70.59357433333334,Valid fix
17,2024-12-01 20:05:02,230502.00,-33.448243833333336,-70.59359866666667,Valid fix
18,2024-12-01 20:05:03,230503.00,-33.448269,-70.5936175,Valid fix
19,2024-12-01 20:05:04,230504.00,-33.4482955,-70.59362866666666,Valid fix
20,2024-12-01 20:05:05,230505.00,-33.4483155,-70.59364983333333,Valid fix
21,2024-12-01 20:05:06,230506.00,-33.44833366666667,-70.593652,Valid fix
22,2024-12-01 20:05:07,230507.00,-33.448352,-70.59367083333333,Valid fix
23,2024-12-01 20:05:08,230508.00,-33.44837,-70.59368816666667,Valid fix
24,2024-12-01 20:05:09,230509.00,-33.448375666666664,-70.5937065,Valid fix
25,2024-12-01 20:05:11,230510.00,-33.44838166666667,-70.59371783333333,Valid fix
26,2024-12-01 20:05:12,230511.00,-33.448393,-70.59372466666667,Valid fix
27,2024-12-01 20:05:13,230512.00,-33.44841233333333,-70.59372916666666,Valid fix
28,2024-12-01 20:05:14,230514.00,-33.4484265,-70.59375083333333,Valid fix
29,2024-12-01 20:05:15,230515.00,-33.44842966666667,-70.59376166666667,Valid fix
30,2024-12-01 20:05:16,230516.00,-33.448441,-70.593771,Valid fix
31,2024-12-01 20:05:17,230517.00,-33.448456,-70.59376866666666,Valid fix
32,2024-12-01 20:05:18,230518.00,-33.448479166666665,-70.59376383333333,Valid fix
33,2024-12-01 20:05:19,230519.00,-33.44850316666667,-70.5937685,Valid fix
34,2024-12-01 20:05:20,230520.00,-33.44851883333333,-70.593777,Valid fix
35,2024-12-01 20:05:21,230521.00,-33.44853833333333,-70.59378766666667,Valid fix
36,2024-12-01 20:05:22,230522.00,-33.4485565,-70.593793,Valid fix
37,2024-12-01 20:05:23,230523.00,-33.4485675,-70.59378916666667,Valid fix
38,2024-12-01 20:05:24,230524.00,-33.4485885,-70.5937995,Valid fix
39,2024-12-01 20:05:25,230525.00,-33.448602,-70.5938025,Valid fix
